QUARTER,TIME_REMAINING,NEW YORK_ACTION,TORONTO_ACTION,NEW YORK_SCORE,TORONTO_SCORE
1,11:44.0,,S. Ibaka misses 2-pt layup from 5 ft (block by M. Robinson),0,0
1,11:38.0,Defensive rebound by N. Vonleh,,0,0
1,11:27.0,F. Ntilikina makes 2-pt jump shot from 7 ft,,2,0
1,11:03.0,,Turnover by D. Green (bad pass; steal by M. Robinson),2,0
1,10:46.0,T. Hardaway misses 2-pt jump shot from 15 ft,,2,0
1,10:42.0,Offensive rebound by N. Vonleh,,2,0
1,10:39.0,D. Dotson misses 3-pt jump shot from 25 ft,,2,0
1,10:39.0,,Defensive rebound by S. Ibaka,2,0
1,10:32.0,,Turnover by P. Siakam (bad pass),2,0
1,10:14.0,N. Vonleh misses 2-pt hook shot from 10 ft,,2,0
1,10:12.0,,Defensive rebound by S. Ibaka,2,0
1,9:58.0,,K. Leonard misses 2-pt jump shot from 9 ft,2,0
1,9:55.0,Defensive rebound by N. Vonleh,,2,0
1,9:49.0,T. Hardaway makes 2-pt layup from 2 ft,,4,0
1,9:35.0,,Turnover by K. Leonard (bad pass; steal by F. Ntilikina),4,0
1,9:28.0,T. Hardaway misses 3-pt jump shot from 25 ft,,4,0
1,9:23.0,,Defensive rebound by K. Leonard,4,0
1,9:14.0,Violation by Team (kicked ball),,4,0
1,9:06.0,,D. Green misses 3-pt jump shot from 26 ft,4,0
1,9:06.0,Defensive rebound by N. Vonleh,,4,0
1,8:57.0,F. Ntilikina misses 2-pt jump shot from 14 ft,,4,0
1,8:51.0,Offensive rebound by M. Robinson,,4,0
1,8:43.0,T. Hardaway misses 3-pt jump shot from 27 ft,,4,0
1,8:39.0,,Defensive rebound by K. Leonard,4,0
1,8:36.0,,K. Lowry misses 3-pt jump shot from 23 ft,4,0
1,8:36.0,Defensive rebound by D. Dotson,,4,0
1,8:27.0,D. Dotson misses 2-pt layup from 1 ft,,4,0
1,8:23.0,,Defensive rebound by S. Ibaka,4,0
1,8:22.0,,Shooting foul by F. Ntilikina (drawn by K. Lowry),4,0
1,8:22.0,,K. Lowry makes free throw 1 of 2,4,1
1,8:22.0,,K. Lowry makes free throw 2 of 2,4,2
1,8:12.0,Turnover by T. Hardaway (out of bounds lost ball),,4,2
1,8:06.0,,S. Ibaka misses 2-pt jump shot from 12 ft,4,2
1,8:01.0,Defensive rebound by T. Hardaway,,4,2
1,7:51.0,Turnover by N. Vonleh (lost ball; steal by D. Green),,4,2
1,7:42.0,,D. Green misses 3-pt jump shot from 26 ft,4,2
1,7:38.0,,Offensive rebound by D. Green,4,2
1,7:35.0,,D. Green makes 3-pt jump shot from 25 ft,4,5
1,7:11.0,T. Hardaway makes 2-pt jump shot from 19 ft (assist by F. Ntilikina),,6,5
1,6:57.0,,Turnover by K. Leonard (lost ball; steal by T. Hardaway),6,5
1,6:52.0,T. Hardaway makes 2-pt layup from 1 ft,,8,5
1,6:39.0,,Shooting foul by M. Robinson (drawn by P. Siakam),8,5
1,6:39.0,,Toronto full timeout,8,5
1,6:39.0,,P. Siakam makes free throw 1 of 2,8,6
1,6:39.0,,P. Siakam misses free throw 2 of 2,8,6
1,6:34.0,Defensive rebound by T. Hardaway,,8,6
1,6:22.0,F. Ntilikina misses 3-pt jump shot from 25 ft,,8,6
1,6:17.0,,Defensive rebound by D. Green,8,6
1,6:12.0,,K. Lowry misses 3-pt jump shot from 26 ft,8,6
1,6:11.0,,Offensive rebound by D. Green,8,6
1,6:11.0,,Turnover by D. Green (bad pass; steal by F. Ntilikina),8,6
1,5:59.0,N. Vonleh misses 2-pt hook shot from 5 ft,,8,6
1,5:55.0,Offensive rebound by M. Robinson,,8,6
1,5:53.0,M. Robinson makes 2-pt dunk from 2 ft,,10,6
1,5:36.0,,Turnover by D. Green (bad pass; steal by M. Robinson),10,6
1,5:32.0,D. Dotson misses 3-pt jump shot from 25 ft,,10,6
1,5:28.0,,Defensive rebound by S. Ibaka,10,6
1,5:28.0,E. Freedom enters the game for M. Robinson,,10,6
1,5:18.0,,D. Green makes 3-pt jump shot from 23 ft (assist by S. Ibaka),10,9
1,5:00.0,Shooting foul by K. Lowry (drawn by N. Vonleh),,10,9
1,5:00.0,N. Vonleh makes free throw 1 of 2,,11,9
1,5:00.0,N. Vonleh makes free throw 2 of 2,,12,9
1,4:48.0,,K. Leonard misses 2-pt jump shot from 11 ft,12,9
1,4:43.0,Defensive rebound by N. Vonleh,,12,9
1,4:33.0,D. Dotson misses 2-pt jump shot from 13 ft,,12,9
1,4:29.0,Offensive rebound by E. Freedom,,12,9
1,4:27.0,E. Freedom misses 2-pt layup from 2 ft,,12,9
1,4:26.0,,Defensive rebound by S. Ibaka,12,9
1,4:19.0,,K. Leonard misses 3-pt jump shot from 22 ft,12,9
1,4:16.0,Defensive rebound by Team,,12,9
1,4:16.0,K. Knox enters the game for D. Dotson,,12,9
1,4:16.0,,O. Anunoby enters the game for D. Green,12,9
1,4:16.0,,F. VanVleet enters the game for K. Leonard,12,9
1,4:01.0,E. Freedom misses 2-pt hook shot from 6 ft,,12,9
1,3:58.0,,Defensive rebound by K. Lowry,12,9
1,3:56.0,,Shooting foul by N. Vonleh (drawn by P. Siakam),12,9
1,3:56.0,,P. Siakam makes free throw 1 of 2,12,10
1,3:56.0,E. Mudiay enters the game for F. Ntilikina,,12,10
1,3:56.0,,P. Siakam makes free throw 2 of 2,12,11
1,3:43.0,Personal foul by F. VanVleet (drawn by K. Knox),,12,11
1,3:31.0,E. Freedom makes 2-pt layup from 2 ft (assist by E. Mudiay),,14,11
1,3:17.0,,O. Anunoby makes 2-pt dunk from 2 ft (assist by K. Lowry),14,13
1,3:06.0,E. Mudiay misses 2-pt jump shot from 11 ft,,14,13
1,3:04.0,Offensive rebound by E. Freedom,,14,13
1,3:04.0,E. Freedom misses 2-pt layup at rim,,14,13
1,3:03.0,Offensive rebound by E. Freedom,,14,13
