QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,NEW YORK_ACTION,CHARLOTTE_SCORE,NEW YORK_SCORE
1,11:39.0,J. Lamb misses 3-pt jump shot from 25 ft,,0,0
1,11:37.0,,Defensive rebound by M. Hezonja,0,0
1,11:18.0,,T. Hardaway misses 2-pt jump shot from 13 ft,0,0
1,11:16.0,,Offensive rebound by E. Freedom,0,0
1,11:16.0,,E. Freedom misses 2-pt layup from 1 ft,0,0
1,11:14.0,,Offensive rebound by E. Freedom,0,0
1,11:14.0,,E. Freedom misses 2-pt layup from 1 ft,0,0
1,11:13.0,Defensive rebound by N. Batum,,0,0
1,11:07.0,C. Zeller makes 2-pt hook shot from 5 ft,,2,0
1,10:55.0,,M. Hezonja misses 2-pt jump shot from 16 ft,2,0
1,10:53.0,Defensive rebound by C. Zeller,,2,0
1,10:45.0,N. Batum misses 2-pt layup from 1 ft,,2,0
1,10:44.0,,Defensive rebound by E. Freedom,2,0
1,10:35.0,,E. Freedom makes 2-pt layup from 1 ft (assist by E. Mudiay),2,2
1,10:22.0,K. Walker makes 2-pt jump shot from 18 ft,,4,2
1,10:00.0,,M. Hezonja misses 2-pt jump shot from 21 ft,4,2
1,9:58.0,Defensive rebound by M. Williams,,4,2
1,9:52.0,C. Zeller makes 2-pt layup from 1 ft (assist by K. Walker),,6,2
1,9:39.0,,N. Vonleh makes 3-pt jump shot from 26 ft (assist by E. Mudiay),6,5
1,9:24.0,C. Zeller makes 2-pt layup from 3 ft (assist by K. Walker),,8,5
1,9:16.0,,E. Mudiay misses 2-pt jump shot from 15 ft,8,5
1,9:14.0,Defensive rebound by K. Walker,,8,5
1,9:08.0,K. Walker misses 3-pt jump shot from 26 ft,,8,5
1,9:06.0,,Defensive rebound by E. Mudiay,8,5
1,8:51.0,,T. Hardaway makes 3-pt jump shot from 25 ft (assist by N. Vonleh),8,8
1,8:33.0,M. Williams misses 3-pt jump shot from 24 ft,,8,8
1,8:31.0,,Defensive rebound by E. Mudiay,8,8
1,8:26.0,,Turnover by E. Mudiay (bad pass; steal by C. Zeller),8,8
1,8:22.0,Personal foul by M. Hezonja (drawn by C. Zeller),,8,8
1,8:13.0,M. Williams misses 3-pt jump shot from 25 ft,,8,8
1,8:11.0,,Defensive rebound by Team,8,8
1,7:54.0,,N. Vonleh misses 3-pt jump shot from 26 ft,8,8
1,7:52.0,Defensive rebound by M. Williams,,8,8
1,7:43.0,M. Williams makes 2-pt jump shot from 11 ft (assist by N. Batum),,10,8
1,7:29.0,,M. Hezonja misses 2-pt jump shot from 19 ft,10,8
1,7:27.0,Defensive rebound by J. Lamb,,10,8
1,7:16.0,C. Zeller makes 2-pt layup from 2 ft (assist by K. Walker),,12,8
1,7:11.0,,New York full timeout,12,8
1,7:11.0,,K. Knox enters the game for M. Hezonja,12,8
1,7:07.0,,T. Hardaway misses 2-pt jump shot from 19 ft,12,8
1,7:05.0,Defensive rebound by K. Walker,,12,8
1,6:49.0,M. Williams makes 3-pt jump shot from 24 ft (assist by N. Batum),,15,8
1,6:36.0,,E. Freedom makes 2-pt layup from 1 ft (assist by E. Mudiay),15,10
1,6:22.0,J. Lamb makes 2-pt layup from 4 ft (assist by N. Batum),,17,10
1,6:09.0,,Shooting foul by C. Zeller (drawn by T. Hardaway),17,10
1,6:09.0,,T. Hardaway makes free throw 1 of 2,17,11
1,6:09.0,,T. Hardaway makes free throw 2 of 2,17,12
1,5:58.0,Personal foul by N. Vonleh (drawn by M. Williams),,17,12
1,5:47.0,Personal foul by E. Freedom (drawn by C. Zeller),,17,12
1,5:42.0,K. Walker misses 3-pt jump shot from 26 ft,,17,12
1,5:40.0,,Defensive rebound by K. Knox,17,12
1,5:24.0,,E. Mudiay misses 3-pt jump shot from 26 ft,17,12
1,5:22.0,Defensive rebound by M. Williams,,17,12
1,5:13.0,N. Batum misses 2-pt jump shot from 14 ft,,17,12
1,5:11.0,,Defensive rebound by N. Vonleh,17,12
1,5:04.0,,E. Freedom makes 2-pt layup from 1 ft (assist by N. Vonleh),17,14
1,4:49.0,K. Walker misses 2-pt layup from 1 ft,,17,14
1,4:47.0,Offensive rebound by C. Zeller,,17,14
1,4:47.0,C. Zeller makes 2-pt layup at rim,,19,14
1,4:34.0,,E. Mudiay makes 2-pt layup from 1 ft,19,16
1,4:17.0,N. Batum misses 2-pt jump shot from 12 ft,,19,16
1,4:13.0,,Defensive rebound by T. Hardaway,19,16
1,4:07.0,,K. Knox makes 2-pt jump shot from 14 ft (assist by T. Hardaway),19,18
1,4:07.0,Charlotte full timeout,,19,18
1,4:07.0,F. Kaminsky enters the game for N. Batum,,19,18
1,4:07.0,M. Kidd-Gilchrist enters the game for M. Williams,,19,18
1,4:07.0,T. Parker enters the game for C. Zeller,,19,18
1,4:07.0,,F. Ntilikina enters the game for E. Freedom,19,18
1,4:07.0,,M. Robinson enters the game for E. Mudiay,19,18
1,3:48.0,F. Kaminsky misses 2-pt hook shot from 2 ft (block by M. Robinson),,19,18
1,3:46.0,,Defensive rebound by M. Robinson,19,18
1,3:35.0,,K. Knox misses 3-pt jump shot from 24 ft,19,18
1,3:34.0,,Offensive rebound by Team,19,18
1,3:34.0,Loose ball foul by M. Kidd-Gilchrist (drawn by N. Vonleh),,19,18
1,3:20.0,,N. Vonleh misses 2-pt hook shot from 3 ft,19,18
1,3:19.0,Defensive rebound by Team,,19,18
1,3:13.0,Personal foul by F. Ntilikina (drawn by T. Parker),,19,18
1,2:55.0,T. Parker makes 2-pt layup from 1 ft,,21,18
1,2:40.0,,M. Robinson makes 2-pt dunk from 1 ft (assist by N. Vonleh),21,20
1,2:25.0,T. Parker makes 2-pt layup from 1 ft,,23,20
1,2:09.0,,T. Hardaway makes 2-pt layup at rim,23,22
1,1:53.0,T. Parker misses 2-pt jump shot from 19 ft (block by M. Robinson),,23,22
1,1:52.0,Offensive rebound by Team,,23,22
1,1:52.0,M. Bridges enters the game for J. Lamb,,23,22
1,1:52.0,M. Monk enters the game for K. Walker,,23,22
1,1:52.0,,D. Dotson enters the game for N. Vonleh,23,22
1,1:46.0,T. Parker makes 2-pt jump shot from 13 ft,,25,22
1,1:34.0,,T. Hardaway misses 2-pt jump shot from 15 ft,25,22
1,1:32.0,Defensive rebound by T. Parker,,25,22
1,1:15.0,Turnover by T. Parker (bad pass; steal by K. Knox),,25,22
1,1:10.0,,K. Knox misses 2-pt layup from 1 ft,25,22
1,1:08.0,,Offensive rebound by K. Knox,25,22
1,1:07.0,,K. Knox misses 2-pt layup from 1 ft,25,22
1,1:04.0,,Offensive rebound by K. Knox,25,22
1,1:04.0,,Shooting foul by F. Kaminsky (drawn by K. Knox),25,22
1,1:04.0,,K. Knox makes free throw 1 of 2,25,23
1,1:04.0,,C. Lee enters the game for T. Hardaway,25,23
1,1:04.0,,K. Knox makes free throw 2 of 2,25,24
1,0:54.0,T. Parker makes 2-pt layup from 1 ft,,27,24
1,0:46.0,,F. Ntilikina misses 2-pt jump shot from 18 ft,27,24
1,0:44.0,Defensive rebound by M. Kidd-Gilchrist,,27,24
1,0:38.0,Offensive foul by F. Kaminsky (drawn by F. Ntilikina),,27,24
1,0:38.0,Turnover by F. Kaminsky (offensive foul),,27,24
1,0:22.0,,C. Lee misses 2-pt jump shot from 15 ft,27,24
1,0:20.0,Defensive rebound by M. Kidd-Gilchrist,,27,24
1,0:01.0,M. Bridges misses 3-pt jump shot from 25 ft,,27,24
1,0:01.0,Offensive rebound by Team,,27,24
2,11:49.0,,K. Knox misses 2-pt layup from 1 ft (block by M. Kidd-Gilchrist),27,24
2,11:47.0,Defensive rebound by M. Bridges,,27,24
2,11:44.0,M. Monk makes 2-pt dunk from 1 ft (assist by M. Bridges),,29,24
2,11:28.0,,D. Dotson misses 2-pt jump shot from 12 ft (block by M. Bridges),29,24
2,11:26.0,Defensive rebound by T. Parker,,29,24
2,11:18.0,F. Kaminsky makes 2-pt layup from 1 ft (assist by M. Kidd-Gilchrist),,31,24
2,11:04.0,,Turnover by F. Ntilikina (bad pass; steal by M. Monk),31,24
2,11:00.0,M. Monk makes 3-pt jump shot from 27 ft (assist by T. Parker),,34,24
2,10:54.0,,New York full timeout,34,24
2,10:33.0,,C. Lee misses 2-pt jump shot from 18 ft,34,24
2,10:31.0,Defensive rebound by M. Monk,,34,24
2,10:16.0,M. Monk misses 3-pt jump shot from 25 ft,,34,24
2,10:14.0,Offensive rebound by M. Kidd-Gilchrist,,34,24
2,10:14.0,Charlotte full timeout,,34,24
2,10:14.0,,N. Vonleh enters the game for M. Robinson,34,24
