QUARTER,TIME_REMAINING,MEMPHIS_ACTION,NEW YORK_ACTION,MEMPHIS_SCORE,NEW YORK_SCORE
1,11:40.0,M. Gasol misses 2-pt jump shot from 19 ft,,0,0
1,11:36.0,,Defensive rebound by K. Knox,0,0
1,11:25.0,,D. Smith makes 2-pt layup from 1 ft (assist by D. Jordan),0,2
1,11:07.0,B. Caboclo misses 2-pt layup from 3 ft (block by D. Jordan),,0,2
1,11:04.0,,Defensive rebound by D. Jordan,0,2
1,11:03.0,,Turnover by K. Knox (lost ball; steal by B. Caboclo),0,2
1,11:02.0,Turnover by J. Holiday (step out of bounds),,0,2
1,10:52.0,,K. Knox misses 2-pt layup from 1 ft,0,2
1,10:49.0,,Offensive rebound by K. Knox,0,2
1,10:49.0,,K. Knox misses 2-pt layup from 1 ft,0,2
1,10:48.0,Defensive rebound by J. Jackson,,0,2
1,10:35.0,J. Jackson misses 2-pt jump shot from 8 ft,,0,2
1,10:32.0,,Defensive rebound by D. Jordan,0,2
1,10:13.0,,D. Jordan misses 2-pt hook shot from 8 ft,0,2
1,10:10.0,Defensive rebound by B. Caboclo,,0,2
1,10:05.0,M. Conley misses 2-pt jump shot from 14 ft,,0,2
1,10:01.0,,Defensive rebound by D. Dotson,0,2
1,9:53.0,,D. Dotson makes 2-pt jump shot from 10 ft (assist by D. Jordan),0,4
1,9:41.0,,Violation by Team (kicked ball),0,4
1,9:28.0,B. Caboclo misses 3-pt jump shot from 22 ft,,0,4
1,9:25.0,,Defensive rebound by N. Vonleh,0,4
1,9:11.0,,K. Knox misses 2-pt layup at rim,0,4
1,9:10.0,Defensive rebound by M. Gasol,,0,4
1,9:06.0,J. Jackson misses 2-pt layup at rim,,0,4
1,9:05.0,Offensive rebound by J. Jackson,,0,4
1,9:05.0,J. Jackson makes 2-pt layup at rim,,2,4
1,9:05.0,Shooting foul by D. Smith (drawn by J. Jackson),,2,4
1,9:05.0,J. Jackson makes free throw 1 of 1,,3,4
1,8:56.0,,Shooting foul by J. Jackson (drawn by D. Jordan),3,4
1,8:56.0,,D. Jordan makes free throw 1 of 2,3,5
1,8:56.0,,D. Jordan makes free throw 2 of 2,3,6
1,8:46.0,Shooting foul by D. Smith (drawn by M. Conley),,3,6
1,8:46.0,M. Conley makes free throw 1 of 2,,4,6
1,8:46.0,,K. Allen enters the game for D. Smith,4,6
1,8:46.0,M. Conley makes free throw 2 of 2,,5,6
1,8:35.0,,Personal foul by B. Caboclo (drawn by K. Knox),5,6
1,8:22.0,,N. Vonleh misses 3-pt jump shot from 23 ft,5,6
1,8:18.0,Defensive rebound by M. Gasol,,5,6
1,8:14.0,Personal foul by N. Vonleh (drawn by J. Jackson),,5,6
1,8:05.0,M. Conley makes 3-pt jump shot from 24 ft (assist by B. Caboclo),,8,6
1,7:55.0,,Turnover by D. Dotson (bad pass; steal by M. Conley),8,6
1,7:49.0,Personal foul by K. Knox (drawn by J. Jackson),,8,6
1,7:49.0,,L. Kornet enters the game for D. Jordan,8,6
1,7:44.0,J. Holiday makes 2-pt layup from 2 ft (assist by M. Gasol),,10,6
1,7:22.0,,D. Dotson makes 3-pt jump shot from 26 ft (assist by N. Vonleh),10,9
1,7:04.0,M. Conley makes 2-pt jump shot from 11 ft,,12,9
1,6:58.0,,Personal foul by B. Caboclo (drawn by K. Allen),12,9
1,6:58.0,,New York full timeout,12,9
1,6:58.0,J. Green enters the game for B. Caboclo,,12,9
1,6:52.0,,D. Dotson misses 3-pt jump shot from 26 ft,12,9
1,6:48.0,Defensive rebound by J. Green,,12,9
1,6:26.0,J. Holiday misses 3-pt jump shot from 26 ft,,12,9
1,6:23.0,,Defensive rebound by D. Dotson,12,9
1,6:09.0,,K. Knox makes 3-pt jump shot from 26 ft (assist by D. Dotson),12,12
1,5:53.0,M. Gasol makes 2-pt jump shot from 18 ft (assist by M. Conley),,14,12
1,5:37.0,,L. Kornet misses 3-pt jump shot from 26 ft,14,12
1,5:34.0,Defensive rebound by J. Green,,14,12
1,5:19.0,J. Holiday misses 2-pt jump shot from 6 ft,,14,12
1,5:15.0,,Defensive rebound by D. Dotson,14,12
1,5:03.0,,N. Vonleh misses 3-pt jump shot from 26 ft,14,12
1,4:59.0,Defensive rebound by J. Green,,14,12
1,4:48.0,Shooting foul by L. Kornet (drawn by J. Jackson),,14,12
1,4:48.0,J. Jackson makes free throw 1 of 2,,15,12
1,4:48.0,S. Mack enters the game for M. Conley,,15,12
1,4:48.0,,W. Matthews enters the game for D. Dotson,15,12
1,4:48.0,J. Jackson misses free throw 2 of 2,,15,12
1,4:45.0,,Defensive rebound by N. Vonleh,15,12
