QUARTER,TIME_REMAINING,UTAH_ACTION,SAN ANTONIO_ACTION,UTAH_SCORE,SAN ANTONIO_SCORE
1,11:44.0,Turnover by R. Gobert (lost ball; steal by D. White),,0,0
1,11:32.0,,L. Aldridge makes 2-pt jump shot from 13 ft,0,2
1,11:13.0,R. Rubio misses 3-pt jump shot from 23 ft,,0,2
1,11:10.0,,Defensive rebound by R. Gay,0,2
1,10:56.0,,D. DeRozan makes 2-pt layup at rim,0,4
1,10:36.0,D. Mitchell misses 2-pt layup from 11 ft,,0,4
1,10:32.0,Offensive rebound by R. Gobert,,0,4
1,10:32.0,R. Gobert makes 2-pt layup from 1 ft,,2,4
1,10:12.0,,D. DeRozan misses 2-pt jump shot from 22 ft,2,4
1,10:08.0,Defensive rebound by R. Gobert,,2,4
1,9:56.0,R. Rubio makes 2-pt jump shot from 19 ft (assist by R. Gobert),,4,4
1,9:39.0,,R. Gay misses 3-pt jump shot from 25 ft,4,4
1,9:37.0,Defensive rebound by R. Gobert,,4,4
1,9:29.0,R. Rubio misses 2-pt layup from 7 ft,,4,4
1,9:27.0,,Defensive rebound by B. Forbes,4,4
1,9:14.0,,R. Gay misses 2-pt jump shot from 18 ft,4,4
1,9:12.0,Defensive rebound by R. Gobert,,4,4
1,9:04.0,R. Rubio misses 3-pt jump shot from 25 ft,,4,4
1,9:00.0,,Defensive rebound by L. Aldridge,4,4
1,8:52.0,,D. DeRozan misses 2-pt jump shot from 11 ft,4,4
1,8:50.0,Defensive rebound by D. Favors,,4,4
1,8:42.0,Turnover by J. Ingles (bad pass; steal by D. White),,4,4
1,8:41.0,,Personal foul by D. Mitchell (drawn by R. Gay),4,4
1,8:31.0,,L. Aldridge misses 2-pt jump shot from 19 ft,4,4
1,8:28.0,Defensive rebound by D. Favors,,4,4
1,8:15.0,Shooting foul by L. Aldridge (drawn by R. Gobert),,4,4
1,8:15.0,R. Gobert makes free throw 1 of 2,,5,4
1,8:15.0,R. Gobert misses free throw 2 of 2,,5,4
1,8:11.0,Offensive rebound by Team,,5,4
1,8:02.0,J. Ingles makes 2-pt layup from 2 ft,,7,4
1,7:43.0,,D. White misses 2-pt jump shot from 14 ft,7,4
1,7:43.0,Defensive rebound by R. Rubio,,7,4
1,7:36.0,R. Gobert makes 2-pt dunk from 1 ft (assist by R. Rubio),,9,4
1,7:36.0,,San Antonio full timeout,9,4
1,7:23.0,,Turnover by D. White (bad pass; steal by D. Mitchell),9,4
1,7:09.0,R. Rubio misses 2-pt layup at rim,,9,4
1,7:07.0,,Defensive rebound by L. Aldridge,9,4
1,7:01.0,,D. DeRozan makes 2-pt layup from 2 ft (assist by D. White),9,6
1,6:38.0,Turnover by D. Favors (bad pass; steal by D. DeRozan),,9,6
1,6:31.0,,R. Gay misses 2-pt layup from 2 ft (block by D. Favors),9,6
1,6:23.0,,Offensive rebound by R. Gay,9,6
1,6:23.0,,R. Gay makes 2-pt dunk at rim,9,8
1,6:18.0,Offensive foul by D. Favors (drawn by D. White),,9,8
1,6:18.0,Turnover by D. Favors (offensive foul),,9,8
1,6:18.0,J. Crowder enters the game for D. Favors,,9,8
1,6:18.0,R. O'Neale enters the game for D. Mitchell,,9,8
1,6:18.0,,P. Mills enters the game for D. White,9,8
1,6:03.0,,B. Forbes misses 2-pt jump shot from 7 ft,9,8
1,6:01.0,Defensive rebound by J. Ingles,,9,8
1,5:40.0,R. Rubio misses 3-pt jump shot from 23 ft,,9,8
1,5:37.0,,Defensive rebound by L. Aldridge,9,8
1,5:26.0,,D. DeRozan makes 2-pt jump shot from 18 ft,9,10
1,5:04.0,R. O'Neale misses 3-pt jump shot from 23 ft,,9,10
1,5:04.0,,Defensive rebound by R. Gay,9,10
1,4:52.0,,P. Mills misses 3-pt jump shot from 26 ft,9,10
1,4:52.0,Defensive rebound by J. Ingles,,9,10
1,4:43.0,Shooting foul by B. Forbes (drawn by J. Ingles),,9,10
1,4:43.0,J. Ingles makes free throw 1 of 2,,10,10
1,4:43.0,,M. Belinelli enters the game for B. Forbes,10,10
1,4:43.0,,C. Metu enters the game for R. Gay,10,10
1,4:43.0,J. Ingles misses free throw 2 of 2,,10,10
1,4:41.0,,Defensive rebound by D. DeRozan,10,10
1,4:33.0,,L. Aldridge misses 2-pt jump shot from 21 ft,10,10
