QUARTER,TIME_REMAINING,INDIANA_ACTION,ORLANDO_ACTION,INDIANA_SCORE,ORLANDO_SCORE
1,11:43.0,,N. Vučević makes 2-pt jump shot from 21 ft,0,2
1,11:15.0,B. Bogdanović makes 2-pt jump shot from 18 ft (assist by T. Evans),,2,2
1,10:53.0,,A. Gordon misses 2-pt layup from 3 ft,2,2
1,10:46.0,,Offensive rebound by A. Gordon,2,2
1,10:46.0,,A. Gordon makes 2-pt layup at rim,2,4
1,10:43.0,D. Collison makes 2-pt layup from 1 ft,,4,4
1,10:30.0,,N. Vučević makes 2-pt jump shot from 9 ft (assist by E. Fournier),4,6
1,10:30.0,,Shooting foul by M. Turner (drawn by N. Vučević),4,6
1,10:30.0,,N. Vučević makes free throw 1 of 1,4,7
1,10:10.0,M. Turner makes 2-pt jump shot from 19 ft (assist by T. Evans),,6,7
1,9:51.0,,E. Fournier misses 2-pt jump shot from 21 ft,6,7
1,9:47.0,Defensive rebound by M. Turner,,6,7
1,9:40.0,T. Young makes 3-pt jump shot from 26 ft (assist by D. Collison),,9,7
1,9:24.0,,A. Gordon makes 3-pt jump shot from 26 ft,9,10
1,9:00.0,T. Young misses 2-pt jump shot from 16 ft,,9,10
1,8:58.0,,Defensive rebound by N. Vučević,9,10
1,8:53.0,,Turnover by D. Augustin (lost ball; steal by D. Collison),9,10
1,8:45.0,D. Collison misses 2-pt jump shot from 15 ft,,9,10
1,8:42.0,,Defensive rebound by N. Vučević,9,10
1,8:40.0,,E. Fournier makes 2-pt layup from 2 ft,9,12
1,8:28.0,B. Bogdanović makes 2-pt layup from 1 ft,,11,12
1,8:28.0,Shooting foul by J. Simmons (drawn by B. Bogdanović),,11,12
1,8:28.0,B. Bogdanović makes free throw 1 of 1,,12,12
1,8:19.0,,N. Vučević misses 3-pt jump shot from 26 ft,12,12
1,8:16.0,Defensive rebound by Team,,12,12
1,7:57.0,T. Evans misses 2-pt jump shot from 22 ft,,12,12
1,7:55.0,,Defensive rebound by A. Gordon,12,12
1,7:49.0,,Personal foul by T. Young (drawn by J. Simmons),12,12
1,7:45.0,,E. Fournier misses 3-pt jump shot from 26 ft,12,12
1,7:43.0,Defensive rebound by B. Bogdanović,,12,12
1,7:37.0,B. Bogdanović makes 3-pt jump shot from 25 ft,,15,12
1,7:27.0,,Orlando full timeout,15,12
1,7:19.0,,Turnover by D. Augustin (traveling),15,12
1,7:08.0,T. Young makes 2-pt jump shot from 10 ft (assist by D. Collison),,17,12
1,6:50.0,,N. Vučević misses 2-pt jump shot from 10 ft,17,12
1,6:48.0,Defensive rebound by T. Young,,17,12
1,6:36.0,T. Young misses 2-pt dunk from 1 ft,,17,12
1,6:33.0,,Defensive rebound by N. Vučević,17,12
1,6:22.0,,A. Gordon misses 3-pt jump shot from 23 ft,17,12
1,6:20.0,Defensive rebound by M. Turner,,17,12
1,6:12.0,B. Bogdanović makes 2-pt layup from 10 ft,,19,12
1,5:56.0,,Orlando full timeout,19,12
1,5:56.0,,J. Isaac enters the game for J. Simmons,19,12
1,5:45.0,,Turnover by Team (shot clock),19,12
1,5:33.0,M. Turner makes 2-pt jump shot from 17 ft (assist by D. Collison),,21,12
1,5:11.0,,J. Isaac makes 2-pt layup from 2 ft (assist by N. Vučević),21,14
1,4:57.0,M. Turner misses 2-pt jump shot from 19 ft,,21,14
1,4:54.0,,Defensive rebound by J. Isaac,21,14
1,4:45.0,,J. Isaac misses 2-pt layup from 2 ft (block by M. Turner),21,14
1,4:43.0,,Offensive rebound by A. Gordon,21,14
1,4:43.0,,Turnover by J. Isaac (off goaltending),21,14
1,4:43.0,,J. Grant enters the game for D. Augustin,21,14
1,4:43.0,,T. Ross enters the game for E. Fournier,21,14
1,4:29.0,Turnover by T. Evans (step out of bounds),,21,14
1,4:12.0,,N. Vučević misses 3-pt jump shot from 26 ft,21,14
1,4:08.0,Defensive rebound by T. Young,,21,14
1,4:06.0,Shooting foul by T. Ross (drawn by T. Evans),,21,14
1,4:06.0,T. Evans makes free throw 1 of 2,,22,14
1,4:06.0,C. Joseph enters the game for B. Bogdanović,,22,14
1,4:06.0,T. Evans makes free throw 2 of 2,,23,14
1,3:52.0,,A. Gordon makes 2-pt jump shot from 14 ft (assist by T. Ross),23,16
1,3:32.0,T. Evans misses 2-pt layup from 1 ft,,23,16
1,3:28.0,,Defensive rebound by A. Gordon,23,16
1,3:15.0,,N. Vučević misses 2-pt hook shot from 9 ft,23,16
1,3:13.0,Defensive rebound by M. Turner,,23,16
1,3:07.0,T. Evans misses 3-pt jump shot from 23 ft,,23,16
1,3:04.0,,Defensive rebound by A. Gordon,23,16
1,2:48.0,,N. Vučević makes 2-pt layup from 2 ft (assist by A. Gordon),23,18
1,2:44.0,Personal take foul by J. Isaac (drawn by T. Young),,23,18
1,2:44.0,T. Leaf enters the game for T. Evans,,23,18
1,2:44.0,D. McDermott enters the game for T. Young,,23,18
1,2:44.0,,M. Bamba enters the game for A. Gordon,23,18
1,2:44.0,,J. Simmons enters the game for N. Vučević,23,18
1,2:29.0,C. Joseph misses 3-pt jump shot from 28 ft,,23,18
1,2:26.0,,Defensive rebound by J. Simmons,23,18
1,2:14.0,,J. Isaac misses 3-pt jump shot from 22 ft,23,18
1,2:11.0,Defensive rebound by C. Joseph,,23,18
1,1:58.0,C. Joseph makes 3-pt jump shot from 23 ft (assist by D. Collison),,26,18
1,1:41.0,,T. Ross makes 2-pt jump shot from 19 ft,26,20
1,1:26.0,M. Turner misses 2-pt jump shot from 14 ft,,26,20
1,1:24.0,,Defensive rebound by J. Isaac,26,20
1,1:18.0,,J. Isaac misses 3-pt jump shot from 25 ft,26,20
1,1:16.0,Defensive rebound by M. Turner,,26,20
1,1:10.0,D. Collison misses 2-pt layup from 2 ft,,26,20
1,1:08.0,,Defensive rebound by M. Bamba,26,20
1,1:04.0,,J. Isaac makes 2-pt layup from 2 ft (assist by J. Grant),26,22
1,1:04.0,,Shooting foul by T. Leaf (drawn by J. Isaac),26,22
1,1:04.0,A. Holiday enters the game for D. Collison,,26,22
1,1:04.0,K. O'Quinn enters the game for M. Turner,,26,22
1,1:04.0,,J. Isaac makes free throw 1 of 1,26,23
1,0:50.0,D. McDermott misses 3-pt jump shot from 25 ft,,26,23
1,0:46.0,,Defensive rebound by T. Ross,26,23
1,0:42.0,,T. Ross misses 3-pt jump shot from 24 ft,26,23
1,0:38.0,Defensive rebound by T. Leaf,,26,23
1,0:29.0,A. Holiday misses 3-pt jump shot from 25 ft,,26,23
1,0:26.0,,Defensive rebound by M. Bamba,26,23
1,0:07.0,,J. Simmons misses 2-pt jump shot from 12 ft,26,23
