QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,TORONTO_ACTION,GOLDEN STATE_SCORE,TORONTO_SCORE
1,11:35.0,,K. Lowry misses 2-pt jump shot from 19 ft,0,0
1,11:33.0,Defensive rebound by K. Durant,,0,0
1,11:19.0,D. Jones makes 2-pt jump shot from 20 ft (assist by K. Thompson),,2,0
1,11:05.0,,P. Siakam makes 3-pt jump shot from 26 ft (assist by D. Green),2,3
1,10:46.0,K. Durant makes 2-pt jump shot from 16 ft (assist by A. Iguodala),,4,3
1,10:32.0,,S. Ibaka makes 2-pt hook shot from 9 ft,4,5
1,10:18.0,Q. Cook misses 2-pt jump shot from 18 ft,,4,5
1,10:12.0,,Defensive rebound by P. Siakam,4,5
1,10:04.0,,D. Green makes 2-pt layup from 1 ft,4,7
1,9:56.0,K. Thompson makes 2-pt jump shot from 11 ft (assist by K. Durant),,6,7
1,9:26.0,,K. Leonard makes 2-pt jump shot from 11 ft,6,9
1,9:15.0,Turnover by K. Thompson (bad pass),,6,9
1,9:11.0,,Personal foul by K. Thompson (drawn by K. Lowry),6,9
1,9:04.0,,K. Leonard makes 3-pt jump shot from 26 ft,6,12
1,8:50.0,K. Durant misses 2-pt jump shot from 14 ft (block by K. Leonard),,6,12
1,8:47.0,,Defensive rebound by K. Lowry,6,12
1,8:44.0,,P. Siakam makes 2-pt dunk from 1 ft (assist by K. Lowry),6,14
1,8:22.0,Turnover by Q. Cook (bad pass),,6,14
1,8:02.0,,K. Lowry misses 3-pt jump shot from 26 ft,6,14
1,7:57.0,Defensive rebound by K. Durant,,6,14
1,7:52.0,K. Durant misses 3-pt jump shot from 25 ft,,6,14
1,7:50.0,,Defensive rebound by S. Ibaka,6,14
1,7:42.0,,S. Ibaka makes 3-pt jump shot from 26 ft (assist by K. Lowry),6,17
1,7:40.0,Golden State full timeout,,6,17
1,7:34.0,Turnover by K. Thompson (lost ball; steal by D. Green),,6,17
1,7:29.0,,K. Lowry makes 3-pt jump shot from 23 ft (assist by K. Leonard),6,20
1,7:06.0,K. Durant makes 2-pt jump shot from 12 ft,,8,20
1,6:48.0,,K. Leonard makes 2-pt jump shot from 10 ft,8,22
1,6:29.0,A. Iguodala makes 2-pt layup at rim,,10,22
1,6:20.0,,Turnover by S. Ibaka (traveling),10,22
1,6:11.0,Personal foul by K. Leonard (drawn by D. Jones),,10,22
1,6:06.0,K. Durant makes 2-pt dunk from 1 ft (assist by A. Iguodala),,12,22
1,5:41.0,,S. Ibaka makes 2-pt jump shot from 18 ft (assist by D. Green),12,24
1,5:24.0,K. Thompson makes 2-pt jump shot from 11 ft (assist by K. Durant),,14,24
1,5:12.0,,D. Green misses 2-pt hook shot from 4 ft,14,24
1,5:09.0,,Offensive rebound by D. Green,14,24
1,5:09.0,,D. Green misses 3-pt jump shot from 23 ft,14,24
1,5:06.0,Defensive rebound by A. Iguodala,,14,24
1,5:02.0,Q. Cook misses 2-pt jump shot from 20 ft,,14,24
1,4:58.0,,Defensive rebound by K. Lowry,14,24
1,4:58.0,J. Jerebko enters the game for Q. Cook,,14,24
1,4:52.0,,K. Leonard makes 2-pt jump shot from 20 ft (assist by K. Lowry),14,26
1,4:33.0,Turnover by A. Iguodala (bad pass; steal by K. Leonard),,14,26
1,4:29.0,,K. Leonard makes 2-pt layup from 1 ft (assist by K. Lowry),14,28
1,4:18.0,Offensive foul by D. Jones (drawn by K. Leonard),,14,28
1,4:18.0,Turnover by D. Jones (offensive foul),,14,28
1,4:18.0,J. Bell enters the game for A. Iguodala,,14,28
1,4:18.0,S. Livingston enters the game for D. Jones,,14,28
1,3:58.0,,K. Leonard makes 2-pt jump shot from 17 ft,14,30
1,3:42.0,Personal foul by S. Ibaka (drawn by J. Bell),,14,30
1,3:39.0,Turnover by K. Thompson (bad pass; steal by K. Lowry),,14,30
1,3:35.0,,P. Siakam makes 2-pt layup from 2 ft (assist by K. Lowry),14,32
1,3:34.0,Golden State full timeout,,14,32
1,3:34.0,D. Lee enters the game for K. Thompson,,14,32
1,3:23.0,S. Livingston makes 2-pt layup from 1 ft,,16,32
1,3:23.0,Shooting foul by D. Green (drawn by S. Livingston),,16,32
1,3:23.0,K. Looney enters the game for J. Bell,,16,32
1,3:23.0,,J. Valančiūnas enters the game for S. Ibaka,16,32
1,3:23.0,S. Livingston makes free throw 1 of 1,,17,32
1,3:07.0,,K. Leonard misses 3-pt jump shot from 26 ft,17,32
1,3:04.0,Defensive rebound by D. Lee,,17,32
1,2:59.0,K. Durant makes 2-pt layup at rim (assist by S. Livingston),,19,32
1,2:47.0,,Personal foul by K. Looney (drawn by J. Valančiūnas),19,32
1,2:47.0,,O. Anunoby enters the game for D. Green,19,32
1,2:47.0,,F. VanVleet enters the game for K. Leonard,19,32
1,2:38.0,,Turnover by K. Lowry (lost ball; steal by D. Lee),19,32
1,2:31.0,S. Livingston misses 2-pt jump shot from 13 ft,,19,32
1,2:29.0,Offensive rebound by Team,,19,32
1,2:17.0,D. Lee misses 3-pt jump shot from 27 ft,,19,32
1,2:17.0,,Defensive rebound by Team,19,32
1,2:17.0,Loose ball foul by J. Jerebko (drawn by K. Lowry),,19,32
1,2:08.0,,Turnover by F. VanVleet (bad pass),19,32
1,1:56.0,K. Durant makes 2-pt jump shot from 14 ft (assist by J. Jerebko),,21,32
1,1:40.0,,Turnover by J. Valančiūnas (bad pass; steal by J. Jerebko),21,32
1,1:25.0,J. Jerebko makes 2-pt hook shot from 6 ft,,23,32
1,1:23.0,,Toronto full timeout,23,32
1,1:23.0,,D. Wright enters the game for K. Lowry,23,32
1,1:07.0,,P. Siakam makes 3-pt jump shot from 23 ft (assist by F. VanVleet),23,35
1,0:49.0,K. Durant misses 2-pt jump shot from 17 ft,,23,35
1,0:47.0,,Defensive rebound by J. Valančiūnas,23,35
1,0:37.0,,O. Anunoby makes 3-pt jump shot from 27 ft (assist by D. Wright),23,38
1,0:27.0,Shooting foul by J. Valančiūnas (drawn by K. Durant),,23,38
1,0:27.0,K. Durant makes free throw 1 of 2,,24,38
1,0:27.0,K. Durant makes free throw 2 of 2,,25,38
1,0:03.0,,F. VanVleet misses 3-pt jump shot from 29 ft,25,38
1,0:03.0,,Offensive rebound by Team,25,38
1,0:03.0,,Turnover by Team (shot clock),25,38
1,0:03.0,Q. Cook enters the game for S. Livingston,,25,38
1,0:03.0,K. Thompson enters the game for K. Looney,,25,38
1,0:03.0,,D. Green enters the game for J. Valančiūnas,25,38
1,0:00.0,K. Thompson misses 3-pt jump shot from 31 ft,,25,38
1,0:00.0,Offensive rebound by Team,,25,38
2,11:46.0,J. Jerebko makes 2-pt hook shot from 4 ft (assist by S. Livingston),,27,38
2,11:33.0,,O. Anunoby misses 3-pt jump shot from 23 ft,27,38
2,11:32.0,Defensive rebound by Team,,27,38
2,11:32.0,,Loose ball foul by J. Valančiūnas (drawn by K. Looney),27,38
2,11:21.0,K. Thompson misses 2-pt jump shot from 19 ft,,27,38
2,11:18.0,,Defensive rebound by O. Anunoby,27,38
2,11:09.0,,J. Valančiūnas makes 2-pt hook shot from 4 ft (assist by F. VanVleet),27,40
2,10:50.0,Shooting foul by D. Wright (drawn by S. Livingston),,27,40
2,10:50.0,S. Livingston misses free throw 1 of 2,,27,40
2,10:50.0,Offensive rebound by Team,,27,40
2,10:50.0,S. Livingston makes free throw 2 of 2,,28,40
2,10:34.0,,J. Valančiūnas makes 2-pt jump shot from 5 ft (assist by D. Wright),28,42
2,10:22.0,K. Looney misses 2-pt layup from 1 ft (block by J. Valančiūnas),,28,42
2,10:19.0,Offensive rebound by K. Looney,,28,42
2,10:19.0,K. Looney makes 2-pt jump shot from 11 ft,,30,42
2,10:03.0,,K. Leonard makes 2-pt layup from 2 ft,30,44
2,10:00.0,Offensive foul by J. Jerebko (drawn by D. Wright),,30,44
2,10:00.0,Turnover by J. Jerebko (offensive foul),,30,44
2,9:45.0,,O. Anunoby makes 2-pt layup from 4 ft,30,46
2,9:30.0,D. Lee misses 2-pt jump shot from 9 ft,,30,46
2,9:28.0,Offensive rebound by K. Looney,,30,46
2,9:25.0,S. Livingston misses 2-pt layup from 1 ft,,30,46
2,9:24.0,,Defensive rebound by O. Anunoby,30,46
2,9:24.0,,Turnover by O. Anunoby (traveling),30,46
2,9:24.0,Q. Cook enters the game for J. Jerebko,,30,46
2,9:24.0,,C. Miles enters the game for D. Wright,30,46
2,9:18.0,K. Thompson makes 2-pt jump shot from 17 ft,,32,46
2,9:04.0,,Turnover by K. Leonard (out of bounds lost ball),32,46
2,8:53.0,Personal foul by K. Leonard (drawn by K. Looney),,32,46
2,8:40.0,D. Lee misses 3-pt jump shot from 26 ft,,32,46
2,8:37.0,,Defensive rebound by J. Valančiūnas,32,46
2,8:28.0,,Shooting foul by Q. Cook (drawn by J. Valančiūnas),32,46
2,8:28.0,,J. Valančiūnas makes free throw 1 of 2,32,47
2,8:28.0,,J. Valančiūnas makes free throw 2 of 2,32,48
2,8:15.0,D. Lee makes 3-pt jump shot from 23 ft (assist by S. Livingston),,35,48
2,7:55.0,,F. VanVleet misses 3-pt jump shot from 29 ft,35,48
2,7:52.0,Defensive rebound by S. Livingston,,35,48
2,7:45.0,S. Livingston misses 2-pt jump shot from 13 ft,,35,48
2,7:43.0,,Defensive rebound by J. Valančiūnas,35,48
2,7:37.0,,C. Miles misses 3-pt jump shot from 24 ft (block by S. Livingston),35,48
2,7:37.0,,Offensive rebound by Team,35,48
2,7:37.0,A. Iguodala enters the game for D. Lee,,35,48
2,7:37.0,J. Jerebko enters the game for S. Livingston,,35,48
2,7:37.0,,D. Green enters the game for K. Leonard,35,48
2,7:37.0,,S. Ibaka enters the game for J. Valančiūnas,35,48
2,7:37.0,,K. Lowry enters the game for F. VanVleet,35,48
2,7:23.0,,D. Green makes 2-pt jump shot from 6 ft (assist by S. Ibaka),35,50
2,7:09.0,K. Looney misses 2-pt layup from 2 ft,,35,50
2,7:07.0,,Defensive rebound by K. Lowry,35,50
2,7:06.0,,Turnover by O. Anunoby (traveling),35,50
2,7:06.0,J. Bell enters the game for K. Looney,,35,50
2,7:06.0,K. Durant enters the game for K. Thompson,,35,50
2,6:51.0,K. Durant misses 2-pt jump shot from 11 ft,,35,50
2,6:48.0,Offensive rebound by J. Bell,,35,50
2,6:47.0,J. Bell misses 2-pt layup from 1 ft,,35,50
2,6:45.0,,Defensive rebound by C. Miles,35,50
2,6:39.0,,Turnover by C. Miles (lost ball; steal by Q. Cook),35,50
2,6:34.0,A. Iguodala misses 2-pt layup from 2 ft,,35,50
2,6:31.0,Offensive rebound by J. Jerebko,,35,50
2,6:31.0,J. Jerebko misses 2-pt layup at rim,,35,50
2,6:30.0,Offensive rebound by J. Jerebko,,35,50
2,6:30.0,J. Jerebko misses 2-pt layup at rim,,35,50
2,6:30.0,,Defensive rebound by C. Miles,35,50
2,6:23.0,,K. Lowry makes 2-pt jump shot from 1 ft,35,52
2,6:07.0,Q. Cook makes 2-pt jump shot from 18 ft,,37,52
2,5:58.0,,Offensive foul by C. Miles (drawn by J. Bell),37,52
2,5:58.0,,Turnover by C. Miles (offensive foul),37,52
2,5:58.0,,Toronto full timeout,37,52
2,5:58.0,,K. Leonard enters the game for O. Anunoby,37,52
2,5:58.0,,P. Siakam enters the game for C. Miles,37,52
2,5:44.0,Q. Cook makes 2-pt jump shot from 19 ft,,39,52
2,5:24.0,,S. Ibaka misses 2-pt jump shot from 6 ft,39,52
2,5:22.0,,Offensive rebound by S. Ibaka,39,52
2,5:20.0,,S. Ibaka makes 2-pt hook shot from 7 ft,39,54
2,5:09.0,K. Durant misses 3-pt jump shot from 25 ft (block by P. Siakam),,39,54
2,5:05.0,Offensive rebound by J. Bell,,39,54
2,5:02.0,Q. Cook misses 3-pt jump shot from 23 ft,,39,54
2,4:59.0,Offensive rebound by K. Durant,,39,54
2,4:59.0,K. Durant makes 2-pt jump shot from 12 ft,,41,54
2,4:47.0,,K. Lowry misses 3-pt jump shot from 28 ft,41,54
2,4:44.0,Defensive rebound by J. Jerebko,,41,54
2,4:32.0,A. Iguodala makes 2-pt jump shot from 19 ft (assist by Q. Cook),,43,54
2,4:18.0,,Shooting foul by J. Jerebko (drawn by P. Siakam),43,54
2,4:18.0,,P. Siakam makes free throw 1 of 2,43,55
2,4:18.0,K. Thompson enters the game for J. Jerebko,,43,55
2,4:18.0,,P. Siakam makes free throw 2 of 2,43,56
2,4:05.0,A. Iguodala misses 3-pt jump shot from 23 ft,,43,56
2,4:02.0,,Defensive rebound by K. Leonard,43,56
2,3:52.0,,K. Leonard misses 2-pt hook shot from 7 ft,43,56
2,3:48.0,Defensive rebound by J. Bell,,43,56
2,3:37.0,Shooting foul by D. Green (drawn by K. Thompson),,43,56
2,3:37.0,K. Thompson makes free throw 1 of 2,,44,56
2,3:37.0,K. Thompson makes free throw 2 of 2,,45,56
2,3:23.0,,S. Ibaka misses 2-pt jump shot from 10 ft,45,56
2,3:20.0,Defensive rebound by K. Durant,,45,56
2,3:14.0,K. Durant misses 2-pt layup from 2 ft,,45,56
2,3:13.0,,Defensive rebound by S. Ibaka,45,56
2,3:08.0,,P. Siakam makes 2-pt layup from 1 ft (assist by D. Green),45,58
2,2:59.0,K. Thompson makes 3-pt jump shot from 25 ft (assist by K. Durant),,48,58
2,2:48.0,,S. Ibaka makes 2-pt jump shot from 3 ft (assist by K. Lowry),48,60
2,2:36.0,Shooting foul by S. Ibaka (drawn by K. Durant),,48,60
2,2:36.0,Golden State full timeout,,48,60
2,2:36.0,K. Durant makes free throw 1 of 2,,49,60
2,2:36.0,K. Durant makes free throw 2 of 2,,50,60
2,2:15.0,,K. Leonard makes 2-pt jump shot from 11 ft,50,62
2,1:57.0,A. Iguodala makes 2-pt dunk from 1 ft (assist by K. Thompson),,52,62
2,1:47.0,,S. Ibaka misses 3-pt jump shot from 27 ft,52,62
2,1:44.0,Defensive rebound by K. Thompson,,52,62
2,1:38.0,K. Thompson makes 2-pt jump shot from 16 ft,,54,62
2,1:20.0,,K. Leonard makes 3-pt jump shot from 29 ft,54,65
2,1:03.0,K. Durant makes 2-pt jump shot from 7 ft,,56,65
2,0:45.0,,Personal foul by Q. Cook (drawn by K. Leonard),56,65
2,0:36.0,,Shooting foul by K. Durant (drawn by K. Leonard),56,65
2,0:36.0,,K. Leonard makes free throw 1 of 2,56,66
2,0:36.0,K. Looney enters the game for J. Bell,,56,66
2,0:36.0,,J. Valančiūnas enters the game for D. Green,56,66
2,0:36.0,,F. VanVleet enters the game for S. Ibaka,56,66
2,0:36.0,,K. Leonard makes free throw 2 of 2,56,67
2,0:31.0,K. Durant misses 3-pt jump shot from 27 ft,,56,67
2,0:28.0,Offensive rebound by A. Iguodala,,56,67
2,0:20.0,Personal foul by P. Siakam (drawn by K. Durant),,56,67
2,0:20.0,K. Durant makes free throw 1 of 2,,57,67
2,0:20.0,J. Evans enters the game for Q. Cook,,57,67
2,0:20.0,,D. Green enters the game for J. Valančiūnas,57,67
2,0:20.0,K. Durant makes free throw 2 of 2,,58,67
2,0:04.0,,K. Leonard misses 3-pt jump shot from 28 ft,58,67
2,0:00.0,Defensive rebound by K. Thompson,,58,67
3,11:45.0,A. Iguodala misses 3-pt jump shot from 24 ft,,58,67
3,11:41.0,,Defensive rebound by K. Lowry,58,67
3,11:30.0,,S. Ibaka misses 2-pt layup from 3 ft (block by A. Iguodala),58,67
3,11:30.0,,Offensive rebound by Team,58,67
