QUARTER,TIME_REMAINING,LA LAKERS_ACTION,CLEVELAND_ACTION,LA LAKERS_SCORE,CLEVELAND_SCORE
1,11:43.0,L. James misses 2-pt layup from 3 ft,,0,0
1,11:36.0,Offensive rebound by L. James,,0,0
1,11:36.0,L. James makes 2-pt layup at rim,,2,0
1,11:23.0,,R. Hood misses 2-pt jump shot from 18 ft,2,0
1,11:19.0,,Offensive rebound by T. Thompson,2,0
1,11:18.0,,T. Thompson misses 2-pt dunk from 1 ft (block by K. Kuzma),2,0
1,11:15.0,Defensive rebound by L. James,,2,0
1,11:13.0,Personal foul by D. Nwaba (drawn by L. James),,2,0
1,11:05.0,Offensive foul by J. McGee (drawn by R. Hood),,2,0
1,11:05.0,Turnover by J. McGee (offensive foul),,2,0
1,10:51.0,,D. Nwaba misses 3-pt jump shot from 27 ft,2,0
1,10:47.0,Defensive rebound by K. Kuzma,,2,0
1,10:39.0,J. McGee makes 2-pt dunk from 2 ft (assist by B. Ingram),,4,0
1,10:19.0,,T. Thompson makes 2-pt hook shot from 9 ft,4,2
1,10:19.0,Violation by Team (def goaltending),,4,2
1,10:01.0,Shooting foul by C. Osman (drawn by B. Ingram),,4,2
1,10:01.0,B. Ingram misses free throw 1 of 2,,4,2
1,10:01.0,Offensive rebound by Team,,4,2
1,10:01.0,B. Ingram misses free throw 2 of 2,,4,2
1,9:58.0,,Defensive rebound by C. Osman,4,2
1,9:46.0,,C. Sexton makes 2-pt jump shot from 10 ft,4,4
1,9:29.0,L. James misses 2-pt jump shot from 17 ft,,4,4
1,9:27.0,,Defensive rebound by R. Hood,4,4
1,9:21.0,Violation by Team (kicked ball),,4,4
1,9:15.0,,C. Sexton misses 2-pt jump shot from 16 ft,4,4
1,9:11.0,Defensive rebound by J. McGee,,4,4
1,9:03.0,L. James makes 2-pt layup from 2 ft (assist by J. McGee),,6,4
1,8:40.0,,T. Thompson makes 2-pt hook shot from 6 ft,6,6
1,8:34.0,Personal foul by T. Thompson (drawn by J. McGee),,6,6
1,8:34.0,,J. Clarkson enters the game for R. Hood,6,6
1,8:29.0,L. James makes 2-pt layup from 3 ft (assist by L. Ball),,8,6
1,8:09.0,,T. Thompson misses 2-pt layup from 1 ft (block by L. James),8,6
1,8:09.0,,Offensive rebound by Team,8,6
1,8:09.0,,Cleveland full timeout,8,6
1,8:04.0,,C. Osman makes 3-pt jump shot from 25 ft (assist by J. Clarkson),8,9
1,7:42.0,K. Kuzma makes 2-pt dunk from 1 ft (assist by L. Ball),,10,9
1,7:25.0,,Shooting foul by L. Ball (drawn by C. Sexton),10,9
1,7:25.0,,C. Sexton makes free throw 1 of 2,10,10
1,7:25.0,,C. Sexton makes free throw 2 of 2,10,11
1,7:10.0,Turnover by K. Kuzma (traveling),,10,11
1,6:57.0,,J. Clarkson misses 2-pt layup from 1 ft (block by J. McGee),10,11
1,6:56.0,Defensive rebound by L. James,,10,11
1,6:38.0,K. Kuzma makes 2-pt dunk from 2 ft (assist by L. Ball),,12,11
1,6:35.0,,C. Osman misses 3-pt jump shot from 27 ft,12,11
1,6:35.0,Defensive rebound by Team,,12,11
1,6:22.0,K. Kuzma makes 3-pt jump shot from 23 ft (assist by L. James),,15,11
1,5:56.0,,J. Clarkson misses 2-pt jump shot from 17 ft,15,11
1,5:52.0,,Offensive rebound by T. Thompson,15,11
