QUARTER,TIME_REMAINING,TORONTO_ACTION,ORLANDO_ACTION,TORONTO_SCORE,ORLANDO_SCORE
1,11:45.0,Turnover by K. Leonard (bad pass; steal by E. Fournier),,0,0
1,11:36.0,,N. Vučević makes 2-pt jump shot from 19 ft (assist by E. Fournier),0,2
1,11:20.0,Turnover by K. Lowry (traveling),,0,2
1,11:14.0,,Personal foul by K. Leonard (drawn by A. Gordon),0,2
1,11:02.0,,A. Gordon makes 3-pt jump shot from 26 ft (assist by D. Augustin),0,5
1,10:38.0,P. Siakam misses 2-pt jump shot from 9 ft,,0,5
1,10:35.0,,Defensive rebound by A. Gordon,0,5
1,10:31.0,,Turnover by A. Gordon (bad pass; steal by K. Lowry),0,5
1,10:27.0,K. Lowry misses 3-pt jump shot from 26 ft,,0,5
1,10:24.0,Offensive rebound by K. Leonard,,0,5
1,10:22.0,D. Green misses 3-pt jump shot from 23 ft,,0,5
1,10:19.0,,Defensive rebound by J. Isaac,0,5
1,10:12.0,,D. Augustin makes 2-pt layup from 2 ft,0,7
1,10:09.0,Shooting foul by J. Isaac (drawn by K. Lowry),,0,7
1,10:09.0,K. Lowry makes free throw 1 of 2,,1,7
1,10:09.0,K. Lowry misses free throw 2 of 2,,1,7
1,10:08.0,,Defensive rebound by Team,1,7
1,9:52.0,,D. Augustin makes 2-pt jump shot from 16 ft,1,9
1,9:43.0,K. Lowry makes 2-pt layup from 1 ft,,3,9
1,9:23.0,,Turnover by J. Isaac (lost ball; steal by K. Lowry),3,9
1,9:10.0,M. Gasol makes 2-pt layup from 3 ft (assist by K. Lowry),,5,9
1,8:53.0,,Turnover by N. Vučević (bad pass; steal by K. Leonard),5,9
1,8:43.0,K. Leonard misses 3-pt jump shot from 23 ft,,5,9
1,8:39.0,,Defensive rebound by D. Augustin,5,9
1,8:31.0,,E. Fournier makes 2-pt jump shot from 21 ft (assist by D. Augustin),5,11
1,8:05.0,Shooting foul by J. Isaac (drawn by K. Leonard),,5,11
1,8:05.0,K. Leonard makes free throw 1 of 2,,6,11
1,8:05.0,,T. Ross enters the game for J. Isaac,6,11
1,8:05.0,K. Leonard makes free throw 2 of 2,,7,11
