QUARTER,TIME_REMAINING,MEMPHIS_ACTION,WASHINGTON_ACTION,MEMPHIS_SCORE,WASHINGTON_SCORE
1,11:46.0,,T. Ariza makes 2-pt layup from 2 ft,0,2
1,11:28.0,A. Bradley makes 2-pt jump shot from 21 ft (assist by M. Conley),,2,2
1,11:13.0,,B. Portis makes 3-pt jump shot from 26 ft (assist by B. Beal),2,5
1,11:00.0,J. Valančiūnas makes 2-pt dunk at rim (assist by A. Bradley),,4,5
1,10:46.0,,Turnover by J. Green (lost ball; steal by J. Holiday),4,5
1,10:39.0,J. Holiday makes 2-pt layup from 1 ft,,6,5
1,10:26.0,,Shooting foul by B. Caboclo (drawn by B. Portis),6,5
1,10:26.0,,B. Portis misses free throw 1 of 2,6,5
1,10:26.0,,Offensive rebound by Team,6,5
1,10:26.0,,B. Portis makes free throw 2 of 2,6,6
1,10:07.0,B. Caboclo makes 3-pt jump shot from 26 ft (assist by A. Bradley),,9,6
1,9:55.0,,B. Beal makes 3-pt jump shot from 27 ft (assist by T. Satoranský),9,9
1,9:45.0,M. Conley misses 2-pt jump shot from 13 ft,,9,9
1,9:41.0,,Defensive rebound by B. Portis,9,9
1,9:39.0,,Turnover by B. Portis (lost ball; steal by B. Caboclo),9,9
1,9:32.0,J. Holiday makes 3-pt jump shot from 27 ft (assist by A. Bradley),,12,9
1,9:21.0,,B. Portis misses 2-pt layup from 18 ft,12,9
1,9:21.0,Defensive rebound by B. Caboclo,,12,9
1,9:13.0,Turnover by B. Caboclo (bad pass; steal by B. Beal),,12,9
1,9:11.0,,B. Beal makes 3-pt jump shot from 26 ft,12,12
1,9:11.0,Memphis full timeout,,12,12
1,8:49.0,J. Valančiūnas misses 2-pt jump shot from 14 ft (block by B. Portis),,12,12
1,8:46.0,,Defensive rebound by T. Satoranský,12,12
1,8:44.0,,B. Portis misses 2-pt layup from 2 ft,12,12
1,8:37.0,Defensive rebound by B. Caboclo,,12,12
1,8:35.0,Turnover by A. Bradley (lost ball; steal by B. Portis),,12,12
1,8:31.0,,Shooting foul by B. Caboclo (drawn by T. Ariza),12,12
1,8:31.0,,T. Ariza makes free throw 1 of 2,12,13
1,8:31.0,C. Miles enters the game for B. Caboclo,,12,13
1,8:31.0,,T. Ariza misses free throw 2 of 2,12,13
1,8:27.0,Defensive rebound by A. Bradley,,12,13
1,8:09.0,J. Valančiūnas makes 2-pt dunk from 1 ft (assist by J. Holiday),,14,13
1,8:02.0,,Turnover by T. Satoranský (lost ball; steal by C. Miles),14,13
1,7:48.0,A. Bradley makes 2-pt jump shot from 17 ft (assist by J. Valančiūnas),,16,13
1,7:30.0,,Turnover by B. Portis (traveling),16,13
1,7:30.0,,Violation by Team (delay of game),16,13
1,7:09.0,J. Valančiūnas makes 2-pt hook shot from 1 ft,,18,13
1,6:54.0,,T. Satoranský misses 2-pt layup from 2 ft,18,13
1,6:50.0,Defensive rebound by C. Miles,,18,13
1,6:47.0,M. Conley makes 3-pt jump shot from 26 ft,,21,13
1,6:45.0,,Washington full timeout,21,13
1,6:30.0,,Shooting foul by A. Bradley (drawn by B. Beal),21,13
1,6:30.0,,B. Beal makes free throw 1 of 2,21,14
1,6:30.0,,B. Beal makes free throw 2 of 2,21,15
1,6:14.0,J. Holiday misses 2-pt layup from 4 ft (block by T. Ariza),,21,15
1,6:09.0,Offensive rebound by J. Holiday,,21,15
1,6:06.0,A. Bradley misses 3-pt jump shot from 24 ft,,21,15
1,6:06.0,,Defensive rebound by B. Beal,21,15
1,5:59.0,,T. Ariza misses 3-pt jump shot from 24 ft,21,15
1,5:59.0,,Offensive rebound by Team,21,15
1,5:59.0,,Personal foul by M. Conley (drawn by J. Green),21,15
1,5:53.0,,T. Satoranský misses 2-pt jump shot from 12 ft,21,15
1,5:49.0,Defensive rebound by J. Valančiūnas,,21,15
1,5:42.0,Personal foul by J. Green (drawn by J. Valančiūnas),,21,15
1,5:27.0,J. Valančiūnas misses 2-pt jump shot from 14 ft,,21,15
1,5:27.0,Offensive rebound by Team,,21,15
1,5:27.0,Turnover by Team (shot clock),,21,15
1,5:17.0,,B. Portis makes 2-pt jump shot from 20 ft (assist by T. Ariza),21,17
1,5:05.0,M. Conley makes 2-pt layup from 7 ft,,23,17
1,5:05.0,Shooting foul by B. Portis (drawn by M. Conley),,23,17
1,5:05.0,J. Noah enters the game for J. Valančiūnas,,23,17
1,5:05.0,,T. Brown enters the game for T. Satoranský,23,17
1,5:05.0,M. Conley makes free throw 1 of 1,,24,17
1,4:53.0,,J. Green makes 3-pt jump shot from 26 ft (assist by B. Beal),24,20
1,4:44.0,Shooting foul by T. Brown (drawn by M. Conley),,24,20
1,4:44.0,M. Conley misses free throw 1 of 2,,24,20
1,4:44.0,Offensive rebound by Team,,24,20
1,4:44.0,C. Parsons enters the game for J. Holiday,,24,20
1,4:44.0,,J. Parker enters the game for B. Portis,24,20
1,4:44.0,M. Conley misses free throw 2 of 2,,24,20
1,4:41.0,,Defensive rebound by T. Ariza,24,20
1,4:33.0,,B. Beal misses 2-pt jump shot from 19 ft,24,20
1,4:30.0,Defensive rebound by J. Noah,,24,20
1,4:15.0,C. Miles misses 3-pt jump shot from 28 ft,,24,20
1,4:07.0,,Defensive rebound by T. Ariza,24,20
1,4:04.0,,T. Brown misses 2-pt jump shot from 9 ft,24,20
1,4:04.0,Defensive rebound by J. Noah,,24,20
1,3:58.0,M. Conley makes 3-pt jump shot from 23 ft (assist by C. Parsons),,27,20
1,3:39.0,,Def 3 sec tech foul by Team,27,20
1,3:39.0,,B. Beal misses technical free throw,27,20
1,3:39.0,,Offensive rebound by Team,27,20
1,3:39.0,D. Wright enters the game for M. Conley,,27,20
1,3:32.0,,B. Beal makes 2-pt layup from 1 ft (assist by J. Parker),27,22
1,3:22.0,C. Miles misses 3-pt jump shot from 27 ft,,27,22
1,3:17.0,,Defensive rebound by J. Parker,27,22
1,3:07.0,,J. Green misses 3-pt jump shot from 24 ft,27,22
1,3:03.0,Defensive rebound by J. Noah,,27,22
1,2:53.0,C. Parsons makes 3-pt jump shot from 27 ft (assist by A. Bradley),,30,22
1,2:38.0,,B. Beal makes 3-pt jump shot from 24 ft,30,25
1,2:14.0,A. Bradley makes 3-pt jump shot from 24 ft,,33,25
1,2:03.0,,B. Beal makes 3-pt jump shot from 25 ft,33,28
1,1:43.0,A. Bradley makes 2-pt jump shot from 18 ft,,35,28
1,1:34.0,,T. Ariza misses 3-pt jump shot from 26 ft,35,28
1,1:31.0,Defensive rebound by C. Parsons,,35,28
1,1:26.0,C. Parsons misses 3-pt jump shot from 26 ft,,35,28
1,1:22.0,,Defensive rebound by B. Beal,35,28
1,1:22.0,,Shooting foul by C. Parsons (drawn by J. Parker),35,28
1,1:22.0,,J. Parker makes free throw 1 of 2,35,29
1,1:22.0,,C. Randle enters the game for T. Ariza,35,29
1,1:22.0,,J. Parker makes free throw 2 of 2,35,30
1,1:11.0,A. Bradley misses 3-pt jump shot from 26 ft,,35,30
1,1:05.0,,Defensive rebound by J. Parker,35,30
1,1:02.0,,Turnover by J. Parker (bad pass; steal by C. Parsons),35,30
1,0:50.0,C. Miles misses 2-pt layup from 8 ft,,35,30
1,0:46.0,,Defensive rebound by T. Brown,35,30
1,0:42.0,,J. Parker makes 2-pt dunk from 1 ft (assist by T. Brown),35,32
1,0:32.0,J. Noah makes 2-pt dunk at rim (assist by A. Bradley),,37,32
1,0:23.0,,J. Parker makes 3-pt jump shot from 26 ft (assist by B. Beal),37,35
1,0:03.0,A. Bradley misses 3-pt jump shot from 23 ft,,37,35
1,0:03.0,,Defensive rebound by J. Parker,37,35
2,11:49.0,D. Wright makes 2-pt layup at rim,,39,35
2,11:44.0,,Turnover by J. Parker (bad pass; steal by D. Wright),39,35
2,11:40.0,D. Wright makes 2-pt dunk from 1 ft,,41,35
2,11:31.0,,Personal foul by C. Parsons (drawn by T. Brown),41,35
2,11:25.0,,Shooting foul by D. Wright (drawn by C. Randle),41,35
2,11:25.0,,C. Randle makes free throw 1 of 2,41,36
2,11:25.0,,C. Randle makes free throw 2 of 2,41,37
2,11:06.0,C. Miles misses 2-pt jump shot from 18 ft,,41,37
2,11:02.0,Offensive rebound by C. Parsons,,41,37
2,10:59.0,T. Dorsey makes 3-pt jump shot from 24 ft (assist by D. Wright),,44,37
2,10:47.0,,J. Parker misses 2-pt jump shot from 18 ft,44,37
2,10:43.0,Defensive rebound by D. Wright,,44,37
2,10:34.0,J. Noah misses 2-pt jump shot from 18 ft,,44,37
