QUARTER,TIME_REMAINING,MEMPHIS_ACTION,LA CLIPPERS_ACTION,MEMPHIS_SCORE,LA CLIPPERS_SCORE
1,11:43.0,,S. Gilgeous-Alexander misses 2-pt jump shot from 18 ft,0,0
1,11:38.0,Defensive rebound by D. Wright,,0,0
1,11:23.0,J. Valančiūnas makes 2-pt hook shot from 5 ft,,2,0
1,11:09.0,,Turnover by I. Zubac (lost ball; steal by D. Wright),2,0
1,11:05.0,Turnover by D. Wright (lost ball; steal by S. Gilgeous-Alexander),,2,0
1,10:52.0,,D. Gallinari makes 2-pt layup from 1 ft (assist by P. Beverley),2,2
1,10:36.0,T. Dorsey misses 2-pt jump shot from 19 ft,,2,2
1,10:34.0,,Defensive rebound by D. Gallinari,2,2
1,10:25.0,,Shooting foul by B. Caboclo (drawn by D. Gallinari),2,2
1,10:25.0,,D. Gallinari makes free throw 1 of 2,2,3
1,10:25.0,,D. Gallinari makes free throw 2 of 2,2,4
1,10:06.0,J. Valančiūnas misses 2-pt jump shot from 7 ft,,2,4
1,10:04.0,,Defensive rebound by S. Gilgeous-Alexander,2,4
1,9:57.0,,D. Gallinari misses 2-pt jump shot from 19 ft,2,4
1,9:54.0,,Offensive rebound by P. Beverley,2,4
1,9:48.0,,S. Gilgeous-Alexander misses 2-pt layup from 5 ft,2,4
1,9:44.0,Defensive rebound by D. Wright,,2,4
1,9:27.0,T. Dorsey misses 2-pt jump shot from 19 ft,,2,4
1,9:23.0,,Defensive rebound by L. Shamet,2,4
1,9:19.0,,S. Gilgeous-Alexander makes 2-pt layup from 1 ft (assist by L. Shamet),2,6
1,8:53.0,J. Valančiūnas misses 2-pt jump shot from 12 ft,,2,6
1,8:51.0,,Defensive rebound by D. Gallinari,2,6
1,8:49.0,,Turnover by P. Beverley (bad pass),2,6
1,8:40.0,J. Holiday misses 2-pt jump shot from 14 ft,,2,6
1,8:37.0,,Defensive rebound by I. Zubac,2,6
1,8:22.0,,I. Zubac makes 2-pt jump shot from 12 ft (assist by P. Beverley),2,8
1,8:09.0,D. Wright misses 2-pt layup from 1 ft (block by I. Zubac),,2,8
1,8:06.0,,Defensive rebound by D. Gallinari,2,8
1,8:01.0,,Turnover by P. Beverley (bad pass; steal by J. Valančiūnas),2,8
1,7:48.0,Personal foul by D. Gallinari (drawn by J. Valančiūnas),,2,8
1,7:39.0,Personal foul by L. Shamet (drawn by T. Dorsey),,2,8
1,7:38.0,Offensive foul by D. Wright (drawn by P. Beverley),,2,8
1,7:38.0,Turnover by D. Wright (offensive foul),,2,8
1,7:23.0,,Shooting foul by B. Caboclo (drawn by D. Gallinari),2,8
1,7:23.0,,D. Gallinari makes free throw 1 of 2,2,9
1,7:23.0,J. Washburn enters the game for B. Caboclo,,2,9
1,7:23.0,,D. Gallinari makes free throw 2 of 2,2,10
1,7:08.0,Def 3 sec tech foul by Team,,2,10
1,7:08.0,J. Holiday makes technical free throw,,3,10
1,7:00.0,Turnover by J. Valančiūnas (traveling),,3,10
1,6:39.0,,D. Gallinari misses 3-pt jump shot from 26 ft,3,10
1,6:36.0,Defensive rebound by J. Valančiūnas,,3,10
1,6:22.0,J. Valančiūnas misses 2-pt layup from 2 ft,,3,10
1,6:20.0,,Defensive rebound by D. Gallinari,3,10
1,6:17.0,,L. Shamet makes 3-pt jump shot from 25 ft (assist by D. Gallinari),3,13
1,6:15.0,Memphis full timeout,,3,13
1,6:15.0,C. Parsons enters the game for T. Dorsey,,3,13
1,5:54.0,Shooting foul by I. Zubac (drawn by J. Valančiūnas),,3,13
1,5:54.0,J. Valančiūnas makes free throw 1 of 2,,4,13
1,5:54.0,J. Valančiūnas makes free throw 2 of 2,,5,13
1,5:38.0,,D. Gallinari misses 3-pt jump shot from 26 ft,5,13
1,5:36.0,Defensive rebound by J. Valančiūnas,,5,13
1,5:25.0,J. Valančiūnas makes 2-pt hook shot from 4 ft (assist by J. Washburn),,7,13
1,5:13.0,,P. Beverley misses 3-pt jump shot from 25 ft,7,13
1,5:10.0,Defensive rebound by J. Washburn,,7,13
1,4:59.0,D. Wright makes 2-pt jump shot from 4 ft (assist by J. Valančiūnas),,9,13
1,4:43.0,,Turnover by D. Gallinari (traveling),9,13
1,4:28.0,C. Parsons misses 2-pt jump shot from 12 ft,,9,13
1,4:26.0,,Defensive rebound by I. Zubac,9,13
1,4:15.0,,Shooting foul by J. Valančiūnas (drawn by I. Zubac),9,13
1,4:15.0,,I. Zubac makes free throw 1 of 2,9,14
1,4:15.0,J. Carter enters the game for J. Holiday,,9,14
1,4:15.0,Y. Watanabe enters the game for D. Wright,,9,14
1,4:15.0,,I. Zubac misses free throw 2 of 2,9,14
1,4:13.0,Defensive rebound by J. Valančiūnas,,9,14
1,4:01.0,J. Washburn makes 2-pt jump shot from 16 ft,,11,14
1,3:36.0,,Shooting foul by J. Washburn (drawn by D. Gallinari),11,14
1,3:36.0,,D. Gallinari misses free throw 1 of 2,11,14
1,3:36.0,,Offensive rebound by Team,11,14
1,3:36.0,I. Rabb enters the game for J. Valančiūnas,,11,14
1,3:36.0,,M. Harrell enters the game for L. Shamet,11,14
1,3:36.0,,L. Williams enters the game for I. Zubac,11,14
1,3:36.0,,D. Gallinari makes free throw 2 of 2,11,15
1,3:22.0,J. Washburn makes 2-pt jump shot from 7 ft (assist by J. Carter),,13,15
1,3:12.0,,L. Williams misses 3-pt jump shot from 25 ft,13,15
1,3:12.0,Defensive rebound by Team,,13,15
1,2:51.0,J. Carter misses 2-pt jump shot from 17 ft,,13,15
1,2:48.0,,Defensive rebound by D. Gallinari,13,15
1,2:41.0,,Turnover by P. Beverley (bad pass; steal by J. Washburn),13,15
1,2:33.0,J. Washburn misses 3-pt jump shot from 23 ft,,13,15
1,2:26.0,,Defensive rebound by P. Beverley,13,15
1,2:08.0,,Personal foul by J. Carter (drawn by D. Gallinari),13,15
1,2:08.0,,LA Clippers full timeout,13,15
1,2:08.0,,D. Gallinari misses free throw 1 of 2,13,15
1,2:08.0,,Offensive rebound by Team,13,15
1,2:08.0,,D. Gallinari makes free throw 2 of 2,13,16
1,1:49.0,Y. Watanabe misses 2-pt jump shot from 14 ft,,13,16
1,1:42.0,,Defensive rebound by D. Gallinari,13,16
1,1:42.0,,Shooting foul by J. Washburn (drawn by L. Williams),13,16
1,1:42.0,,L. Williams makes free throw 1 of 2,13,17
1,1:42.0,D. Hannahs enters the game for J. Washburn,,13,17
1,1:42.0,,J. Green enters the game for P. Beverley,13,17
1,1:42.0,,G. Temple enters the game for D. Gallinari,13,17
