QUARTER,TIME_REMAINING,NEW YORK_ACTION,GOLDEN STATE_ACTION,NEW YORK_SCORE,GOLDEN STATE_SCORE
1,11:46.0,,Turnover by D. Green (bad pass),0,0
1,11:26.0,T. Hardaway makes 2-pt jump shot from 10 ft,,2,0
1,11:26.0,Shooting foul by K. Thompson (drawn by T. Hardaway),,2,0
1,11:26.0,T. Hardaway makes free throw 1 of 1,,3,0
1,11:18.0,,K. Durant misses 3-pt jump shot from 24 ft,3,0
1,11:16.0,Defensive rebound by T. Hardaway,,3,0
1,11:12.0,K. Knox misses 3-pt jump shot from 22 ft,,3,0
1,11:10.0,,Defensive rebound by K. Looney,3,0
1,10:59.0,,S. Curry misses 2-pt jump shot from 9 ft,3,0
1,10:58.0,Defensive rebound by L. Kornet,,3,0
1,10:40.0,Turnover by N. Vonleh (bad pass; steal by S. Curry),,3,0
1,10:31.0,,K. Durant makes 2-pt jump shot from 16 ft (assist by D. Green),3,2
1,10:16.0,Turnover by N. Vonleh (traveling),,3,2
1,10:07.0,,K. Looney makes 2-pt dunk from 2 ft (assist by K. Durant),3,4
1,9:47.0,Shooting foul by K. Durant (drawn by K. Knox),,3,4
1,9:47.0,K. Knox makes free throw 1 of 2,,4,4
1,9:47.0,K. Knox makes free throw 2 of 2,,5,4
1,9:36.0,,D. Green makes 2-pt jump shot from 8 ft (assist by S. Curry),5,6
1,9:18.0,K. Knox makes 2-pt jump shot from 10 ft,,7,6
1,9:11.0,,K. Durant makes 2-pt jump shot from 14 ft (assist by D. Green),7,8
1,8:55.0,K. Knox misses 3-pt jump shot from 27 ft,,7,8
1,8:53.0,,Defensive rebound by D. Green,7,8
1,8:46.0,,K. Thompson makes 2-pt jump shot from 23 ft (assist by D. Green),7,10
1,8:22.0,Shooting foul by S. Curry (drawn by N. Vonleh),,7,10
1,8:22.0,N. Vonleh makes free throw 1 of 2,,8,10
1,8:22.0,N. Vonleh makes free throw 2 of 2,,9,10
1,8:10.0,,K. Thompson misses 3-pt jump shot from 26 ft,9,10
1,8:08.0,,Offensive rebound by S. Curry,9,10
1,8:03.0,,S. Curry makes 3-pt jump shot from 24 ft,9,13
1,7:54.0,E. Mudiay makes 2-pt jump shot from 13 ft,,11,13
1,7:46.0,,K. Thompson misses 3-pt jump shot from 28 ft,11,13
1,7:44.0,,Offensive rebound by D. Green,11,13
1,7:44.0,,D. Green misses 2-pt layup from 1 ft,11,13
1,7:43.0,,Offensive rebound by D. Green,11,13
1,7:43.0,,D. Green misses 2-pt layup from 1 ft,11,13
1,7:42.0,,Offensive rebound by K. Looney,11,13
1,7:35.0,,K. Thompson makes 3-pt jump shot from 23 ft (assist by K. Looney),11,16
1,7:23.0,L. Kornet misses 3-pt jump shot from 28 ft,,11,16
1,7:21.0,,Defensive rebound by K. Looney,11,16
1,7:15.0,,K. Thompson makes 2-pt jump shot from 8 ft (assist by K. Durant),11,18
1,7:08.0,New York full timeout,,11,18
1,6:58.0,T. Hardaway makes 3-pt jump shot from 27 ft (assist by E. Mudiay),,14,18
1,6:46.0,,Turnover by K. Durant (bad pass; steal by N. Vonleh),14,18
1,6:45.0,Offensive foul by N. Vonleh (drawn by D. Green),,14,18
1,6:45.0,Turnover by N. Vonleh (offensive foul),,14,18
1,6:32.0,,S. Curry misses 3-pt jump shot from 25 ft,14,18
1,6:30.0,,Offensive rebound by D. Green,14,18
1,6:24.0,,Turnover by K. Durant (bad pass; steal by L. Kornet),14,18
1,6:07.0,K. Knox makes 2-pt dunk at rim (assist by N. Vonleh),,16,18
1,5:51.0,,K. Thompson makes 2-pt layup from 2 ft (assist by S. Curry),16,20
1,5:35.0,T. Hardaway misses 2-pt layup from 2 ft,,16,20
1,5:34.0,,Defensive rebound by K. Looney,16,20
1,5:28.0,,K. Thompson makes 3-pt jump shot from 23 ft (assist by S. Curry),16,23
1,5:06.0,E. Mudiay misses 2-pt jump shot from 13 ft (block by K. Thompson),,16,23
1,5:04.0,Offensive rebound by E. Mudiay,,16,23
1,5:02.0,Turnover by Team (shot clock),,16,23
1,5:02.0,M. Hezonja enters the game for K. Knox,,16,23
1,5:02.0,A. Trier enters the game for L. Kornet,,16,23
1,5:02.0,,A. Iguodala enters the game for D. Green,16,23
1,4:43.0,,S. Curry misses 3-pt jump shot from 25 ft,16,23
1,4:41.0,Defensive rebound by N. Vonleh,,16,23
1,4:32.0,Turnover by E. Mudiay (lost ball; steal by K. Looney),,16,23
1,4:24.0,,K. Looney makes 2-pt dunk from 2 ft (assist by S. Curry),16,25
1,3:57.0,A. Trier misses 3-pt jump shot from 27 ft,,16,25
1,3:55.0,,Defensive rebound by K. Durant,16,25
