QUARTER,TIME_REMAINING,HOUSTON_ACTION,GOLDEN STATE_ACTION,HOUSTON_SCORE,GOLDEN STATE_SCORE
1,11:47.0,,D. Green makes 2-pt layup from 2 ft (assist by A. Iguodala),0,2
1,11:28.0,E. Gordon misses 3-pt jump shot from 28 ft,,0,2
1,11:26.0,,Defensive rebound by A. Iguodala,0,2
1,11:11.0,,D. Green makes 2-pt jump shot from 12 ft,0,4
1,10:47.0,J. Harden makes 2-pt jump shot from 12 ft,,2,4
1,10:28.0,,K. Thompson makes 2-pt jump shot from 13 ft (assist by A. Iguodala),2,6
1,10:16.0,E. Gordon misses 3-pt jump shot from 26 ft,,2,6
1,10:14.0,,Defensive rebound by K. Durant,2,6
1,9:59.0,,D. Green misses 2-pt jump shot from 11 ft,2,6
1,9:58.0,Defensive rebound by C. Capela,,2,6
1,9:46.0,Shooting foul by A. Iguodala (drawn by C. Capela),,2,6
1,9:46.0,C. Capela makes free throw 1 of 2,,3,6
1,9:46.0,C. Capela makes free throw 2 of 2,,4,6
1,9:34.0,,Turnover by K. Durant (lost ball; steal by P. Tucker),4,6
1,9:27.0,E. Gordon makes 2-pt layup from 9 ft (assist by C. Paul),,6,6
1,9:27.0,Shooting foul by K. Thompson (drawn by E. Gordon),,6,6
1,9:27.0,E. Gordon makes free throw 1 of 1,,7,6
1,9:17.0,,K. Durant misses 2-pt jump shot from 15 ft,7,6
1,9:16.0,Defensive rebound by C. Capela,,7,6
1,9:05.0,J. Harden misses 3-pt jump shot from 26 ft,,7,6
1,9:03.0,,Defensive rebound by D. Green,7,6
1,8:55.0,,A. Iguodala makes 2-pt layup from 2 ft (assist by D. Green),7,8
1,8:46.0,E. Gordon misses 3-pt jump shot from 27 ft,,7,8
1,8:44.0,,Defensive rebound by D. Green,7,8
1,8:30.0,,Shooting foul by J. Harden (drawn by S. Curry),7,8
1,8:30.0,,S. Curry makes free throw 1 of 2,7,9
1,8:30.0,,S. Curry makes free throw 2 of 2,7,10
1,8:10.0,J. Harden misses 3-pt jump shot from 27 ft,,7,10
1,8:08.0,,Defensive rebound by Team,7,10
1,8:01.0,,Turnover by D. Green (bad pass),7,10
1,7:44.0,Shooting foul by A. Iguodala (drawn by J. Harden),,7,10
1,7:44.0,J. Harden makes free throw 1 of 2,,8,10
1,7:44.0,,K. Looney enters the game for A. Iguodala,8,10
1,7:44.0,J. Harden makes free throw 2 of 2,,9,10
1,7:31.0,,K. Durant misses 2-pt jump shot from 13 ft,9,10
1,7:30.0,,Offensive rebound by K. Looney,9,10
1,7:21.0,,D. Green makes 2-pt layup from 6 ft (assist by K. Thompson),9,12
1,7:07.0,P. Tucker misses 3-pt jump shot from 23 ft,,9,12
1,7:05.0,,Defensive rebound by S. Curry,9,12
1,6:58.0,,Turnover by K. Thompson (step out of bounds),9,12
1,6:58.0,,Golden State full timeout,9,12
1,6:58.0,N. Hilário enters the game for C. Capela,,9,12
1,6:58.0,D. House enters the game for C. Paul,,9,12
1,6:40.0,Offensive foul by D. House (drawn by K. Thompson),,9,12
1,6:40.0,Turnover by D. House (offensive foul),,9,12
1,6:32.0,,Turnover by K. Looney (lost ball; steal by N. Hilário),9,12
1,6:18.0,J. Harden misses 2-pt layup from 6 ft,,9,12
1,6:16.0,,Defensive rebound by D. Green,9,12
1,6:13.0,,D. Green makes 2-pt layup from 3 ft,9,14
1,6:05.0,J. Harden misses 2-pt layup from 3 ft,,9,14
1,6:04.0,,Defensive rebound by K. Looney,9,14
1,6:02.0,,Personal foul by N. Hilário (drawn by D. Green),9,14
1,5:54.0,,K. Durant makes 2-pt jump shot from 12 ft,9,16
1,5:35.0,P. Tucker misses 3-pt jump shot from 26 ft,,9,16
1,5:33.0,,Defensive rebound by S. Curry,9,16
1,5:26.0,,Offensive foul by K. Looney (drawn by P. Tucker),9,16
1,5:26.0,,Turnover by K. Looney (offensive foul),9,16
1,5:26.0,I. Shumpert enters the game for E. Gordon,,9,16
1,5:22.0,Personal foul by K. Durant (drawn by D. House),,9,16
1,5:17.0,Turnover by J. Harden (lost ball; steal by K. Looney),,9,16
1,5:13.0,,Turnover by D. Green (bad pass; steal by N. Hilário),9,16
1,5:01.0,D. House misses 3-pt jump shot from 26 ft,,9,16
1,4:59.0,Offensive rebound by N. Hilário,,9,16
1,4:57.0,N. Hilário makes 2-pt layup from 2 ft,,11,16
1,4:50.0,,S. Curry misses 3-pt jump shot from 27 ft,11,16
