QUARTER,TIME_REMAINING,CHICAGO_ACTION,GOLDEN STATE_ACTION,CHICAGO_SCORE,GOLDEN STATE_SCORE
1,11:41.0,,K. Thompson makes 3-pt jump shot from 27 ft (assist by K. Durant),0,3
1,11:18.0,L. Markkanen misses 3-pt jump shot from 26 ft,,0,3
1,11:16.0,,Defensive rebound by K. Thompson,0,3
1,11:10.0,,K. Thompson makes 3-pt jump shot from 29 ft (assist by D. Green),0,6
1,10:57.0,W. Carter makes 2-pt jump shot from 12 ft (assist by K. Dunn),,2,6
1,10:50.0,,K. Thompson makes 3-pt jump shot from 26 ft (assist by S. Curry),2,9
1,10:28.0,C. Hutchison misses 2-pt jump shot from 5 ft (block by K. Durant),,2,9
1,10:27.0,,Defensive rebound by K. Durant,2,9
1,10:23.0,,K. Thompson misses 2-pt layup from 2 ft,2,9
1,10:22.0,,Offensive rebound by K. Looney,2,9
1,10:21.0,,K. Looney makes 2-pt dunk at rim,2,11
1,10:20.0,Chicago full timeout,,2,11
1,10:03.0,K. Dunn misses 2-pt jump shot from 8 ft,,2,11
1,10:02.0,,Defensive rebound by K. Looney,2,11
1,9:51.0,,Turnover by S. Curry (lost ball; steal by K. Dunn),2,11
1,9:47.0,K. Dunn misses 2-pt layup from 4 ft,,2,11
1,9:46.0,,Defensive rebound by S. Curry,2,11
1,9:41.0,,K. Durant makes 3-pt jump shot from 23 ft (assist by S. Curry),2,14
1,9:39.0,Chicago full timeout,,2,14
1,9:26.0,W. Carter misses 2-pt jump shot from 9 ft,,2,14
1,9:25.0,,Defensive rebound by D. Green,2,14
1,9:13.0,,Turnover by K. Durant (bad pass; steal by W. Carter),2,14
1,9:03.0,Z. LaVine makes 2-pt layup from 2 ft (assist by K. Dunn),,4,14
1,8:47.0,,K. Looney makes 2-pt layup from 2 ft (assist by K. Thompson),4,16
1,8:47.0,,Shooting foul by Z. LaVine (drawn by K. Looney),4,16
1,8:47.0,,K. Looney misses free throw 1 of 1,4,16
1,8:46.0,Defensive rebound by L. Markkanen,,4,16
1,8:26.0,K. Dunn misses 2-pt jump shot from 9 ft,,4,16
1,8:25.0,Offensive rebound by W. Carter,,4,16
1,8:20.0,C. Hutchison makes 2-pt layup from 5 ft (assist by W. Carter),,6,16
1,8:07.0,,S. Curry makes 2-pt layup from 2 ft,6,18
1,7:51.0,Shooting foul by D. Green (drawn by L. Markkanen),,6,18
1,7:51.0,L. Markkanen makes free throw 1 of 2,,7,18
1,7:51.0,L. Markkanen makes free throw 2 of 2,,8,18
1,7:36.0,,S. Curry makes 2-pt jump shot from 18 ft (assist by D. Green),8,20
1,7:20.0,Z. LaVine misses 3-pt jump shot from 28 ft,,8,20
1,7:18.0,,Defensive rebound by D. Green,8,20
